transaction_reference_id,party_role,party_info_unstructured,parsed_name,parsed_address_street_name,parsed_address_street_number,parsed_address_unit,parsed_address_postal_code,parsed_address_city,parsed_address_state,parsed_address_country,party_iban,party_phone,external_id
04ff0d1c680189e3a80c92d86407f0f5,BENE,mary mith 107 107 angela brooks n. thomasfurt bulgaria,mary mith,angela brooks n.,107 107,,,thomasfurt,,bulgaria,GB49MYOB82127728573340,00181566067918486,50039037
439ab0ad7380e6135ab2ff3fddd4a727,ORG,yesneia kim north michael 93971 koribati,yesneia kim,koribati,93971,,,,,,,026962087342349,60044692
00cac12d41191a84f9e31aa731a83512,ORG,w. roberson jr. 41010 rachel crossingapt. 923 thompsonshire amyport p2235417,w. roberson jr.,rachel crossingapt.,923,,,,,,GB08OTHR53515837682953,,30008244
e4fba5f878dd3453e35973605a783a16,BENE,azquez-nelson co. suarez ports suite & 024 brittanyberg bulgaria bulgaria,azquez-nelson co.,,,,,brittanyberg bulgaria,,bulgaria,GB17VVGW66321494633280,,40017944
d03d7e4c31878b0255d39e8c3f0ab625,ORG,m.j. bytd iii 856 john lake s. glenn cocos (keeling) islands 125838276,m.j. bytd iii,john lake s. glenn,856,,125838276,,,cocos keeling islands,,2603371534,40012658
948ae2b2fa0a7cafb33978779f443429,BENE,flores ltd 0169 dustin mount apt. 843 port douglas new adam libyan arab jamahiriya,flores ltd,dustin mount,0169,apt. 843,,port,,,GB98QFKA10998873694870,0088013204104875,10420140
9ac9861a0d0b133ac3cb122311fe3e28,BENE,christopher guutierrez 171 glenn plaza thomasfort korea d453602,christopher guutierrez,,171,,,,,,,,40006918
0d3400eb3113eb800604c1a7a1f2a6b3,BENE,kyle clark p.o. box 650 1876 illiajs plain suite 880 jamesmouth blackland 24073 france,kyle clark,illiajs plain suite 880 jamesmouth,1876,,24073,blackland,,france,GB32CEZH43283581987924,052227106498382,25021900
811c8949aa11f7bcd19f139e9f7d58ae,BENE,phillips incorporated 201 donna union suite 252,phillips incorporated,donna union,201,suite 252,,,,,,2406293662,25021951
4181e1fcc4d4b029134f7b38ace018c2,BENE,"guerrero, fisher and durham 8206 jill ridge","guerrero, fisher and durham",jill ridge,8206,,,,,,,05053374623,10273918
